"","Region","Site","Year","Zone","Taxon","ID","IDsite","x","Points"
"135","GBR","1. North Reef","2011","1-7m","Scolymia","2011.1. North Reef.1-7m","1. North Reef.1-7m",0,3
"136","GBR","1. North Reef","2011","1-7m","Seriatopora","2011.1. North Reef.1-7m","1. North Reef.1-7m",0,3
"137","GBR","1. North Reef","2011","1-7m","Staghorn Acropora","2011.1. North Reef.1-7m","1. North Reef.1-7m",2.4,3
"138","GBR","1. North Reef","2011","1-7m","Stylophora","2011.1. North Reef.1-7m","1. North Reef.1-7m",0,3
"139","GBR","1. North Reef","2011","1-7m","Tabular Acropora","2011.1. North Reef.1-7m","1. North Reef.1-7m",2.6,3
"140","GBR","1. North Reef","2011","1-7m","Turbinaria","2011.1. North Reef.1-7m","1. North Reef.1-7m",0,3
"169","GBR","1. North Reef","1995","15-30m","Astreopora","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"170","GBR","1. North Reef","1995","15-30m","Bushy Acropora","1995.1. North Reef.15-30m","1. North Reef.15-30m",0.8,1
"171","GBR","1. North Reef","1995","15-30m","Digitate Acropora","1995.1. North Reef.15-30m","1. North Reef.15-30m",0.48,1
"172","GBR","1. North Reef","1995","15-30m","Diploastrea","1995.1. North Reef.15-30m","1. North Reef.15-30m",1,1
"173","GBR","1. North Reef","1995","15-30m","Echinopora","1995.1. North Reef.15-30m","1. North Reef.15-30m",0.2,1
"174","GBR","1. North Reef","1995","15-30m","Fungiidae","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"175","GBR","1. North Reef","1995","15-30m","Galaxea","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"176","GBR","1. North Reef","1995","15-30m","Goniastrea","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"177","GBR","1. North Reef","1995","15-30m","Goniopora","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"178","GBR","1. North Reef","1995","15-30m","Hydnophora","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"179","GBR","1. North Reef","1995","15-30m","Isopora","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"180","GBR","1. North Reef","1995","15-30m","Massive Porites","1995.1. North Reef.15-30m","1. North Reef.15-30m",3.5,1
"181","GBR","1. North Reef","1995","15-30m","Merulina","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"182","GBR","1. North Reef","1995","15-30m","Montipora","1995.1. North Reef.15-30m","1. North Reef.15-30m",1,1
"183","GBR","1. North Reef","1995","15-30m","Mussidae","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"184","GBR","1. North Reef","1995","15-30m","Other Agariciidae","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"185","GBR","1. North Reef","1995","15-30m","Other Faviidae","1995.1. North Reef.15-30m","1. North Reef.15-30m",2.96,1
"186","GBR","1. North Reef","1995","15-30m","Other Pocillopora","1995.1. North Reef.15-30m","1. North Reef.15-30m",1.2,1
"187","GBR","1. North Reef","1995","15-30m","Pavona","1995.1. North Reef.15-30m","1. North Reef.15-30m",0.5,1
"188","GBR","1. North Reef","1995","15-30m","Pectiniidae","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"189","GBR","1. North Reef","1995","15-30m","Pocillopora damicornis","1995.1. North Reef.15-30m","1. North Reef.15-30m",3.3,1
"190","GBR","1. North Reef","1995","15-30m","Psammocora","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"191","GBR","1. North Reef","1995","15-30m","Scolymia","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"192","GBR","1. North Reef","1995","15-30m","Seriatopora","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"193","GBR","1. North Reef","1995","15-30m","Staghorn Acropora","1995.1. North Reef.15-30m","1. North Reef.15-30m",2.56,1
"194","GBR","1. North Reef","1995","15-30m","Stylophora","1995.1. North Reef.15-30m","1. North Reef.15-30m",0.4,1
"195","GBR","1. North Reef","1995","15-30m","Tabular Acropora","1995.1. North Reef.15-30m","1. North Reef.15-30m",2,1
"196","GBR","1. North Reef","1995","15-30m","Turbinaria","1995.1. North Reef.15-30m","1. North Reef.15-30m",0,1
"225","GBR","1. North Reef","2002","15-30m","Astreopora","2002.1. North Reef.15-30m","1. North Reef.15-30m",0,2
"226","GBR","1. North Reef","2002","15-30m","Bushy Acropora","2002.1. North Reef.15-30m","1. North Reef.15-30m",0.2,2
"227","GBR","1. North Reef","2002","15-30m","Digitate Acropora","2002.1. North Reef.15-30m","1. North Reef.15-30m",0,2
"228","GBR","1. North Reef","2002","15-30m","Diploastrea","2002.1. North Reef.15-30m","1. North Reef.15-30m",1.4,2
"229","GBR","1. North Reef","2002","15-30m","Echinopora","2002.1. North Reef.15-30m","1. North Reef.15-30m",1.4,2
"230","GBR","1. North Reef","2002","15-30m","Fungiidae","2002.1. North Reef.15-30m","1. North Reef.15-30m",0.6,2
"231","GBR","1. North Reef","2002","15-30m","Galaxea","2002.1. North Reef.15-30m","1. North Reef.15-30m",0,2
"232","GBR","1. North Reef","2002","15-30m","Goniastrea","2002.1. North Reef.15-30m","1. North Reef.15-30m",0,2
"233","GBR","1. North Reef","2002","15-30m","Goniopora","2002.1. North Reef.15-30m","1. North Reef.15-30m",0,2
"234","GBR","1. North Reef","2002","15-30m","Hydnophora","2002.1. North Reef.15-30m","1. North Reef.15-30m",0,2
"235","GBR","1. North Reef","2002","15-30m","Isopora","2002.1. North Reef.15-30m","1. North Reef.15-30m",0,2
"236","GBR","1. North Reef","2002","15-30m","Massive Porites","2002.1. North Reef.15-30m","1. North Reef.15-30m",1.6,2
"237","GBR","1. North Reef","2002","15-30m","Merulina","2002.1. North Reef.15-30m","1. North Reef.15-30m",0,2
"238","GBR","1. North Reef","2002","15-30m","Montipora","2002.1. North Reef.15-30m","1. North Reef.15-30m",0,2
"239","GBR","1. North Reef","2002","15-30m","Mussidae","2002.1. North Reef.15-30m","1. North Reef.15-30m",1,2
"240","GBR","1. North Reef","2002","15-30m","Other Agariciidae","2002.1. North Reef.15-30m","1. North Reef.15-30m",0,2
"241","GBR","1. North Reef","2002","15-30m","Other Faviidae","2002.1. North Reef.15-30m","1. North Reef.15-30m",2.2,2
"242","GBR","1. North Reef","2002","15-30m","Other Pocillopora","2002.1. North Reef.15-30m","1. North Reef.15-30m",2,2
"243","GBR","1. North Reef","2002","15-30m","Pavona","2002.1. North Reef.15-30m","1. North Reef.15-30m",0,2
"244","GBR","1. North Reef","2002","15-30m","Pectiniidae","2002.1. North Reef.15-30m","1. North Reef.15-30m",0,2
"245","GBR","1. North Reef","2002","15-30m","Pocillopora damicornis","2002.1. North Reef.15-30m","1. North Reef.15-30m",1,2
"246","GBR","1. North Reef","2002","15-30m","Psammocora","2002.1. North Reef.15-30m","1. North Reef.15-30m",0.4,2
"247","GBR","1. North Reef","2002","15-30m","Scolymia","2002.1. North Reef.15-30m","1. North Reef.15-30m",0,2
"248","GBR","1. North Reef","2002","15-30m","Seriatopora","2002.1. North Reef.15-30m","1. North Reef.15-30m",0,2
"249","GBR","1. North Reef","2002","15-30m","Staghorn Acropora","2002.1. North Reef.15-30m","1. North Reef.15-30m",0,2
"250","GBR","1. North Reef","2002","15-30m","Stylophora","2002.1. North Reef.15-30m","1. North Reef.15-30m",0,2
"251","GBR","1. North Reef","2002","15-30m","Tabular Acropora","2002.1. North Reef.15-30m","1. North Reef.15-30m",0,2
"252","GBR","1. North Reef","2002","15-30m","Turbinaria","2002.1. North Reef.15-30m","1. North Reef.15-30m",0.4,2
"281","GBR","1. North Reef","2011","15-30m","Astreopora","2011.1. North Reef.15-30m","1. North Reef.15-30m",0.2,3
